city,day_type,room_type,listing_count,avg_price,median_price,std_price,p10_price,p90_price,avg_satisfaction,avg_cleanliness,avg_dist,avg_metro_dist,avg_capacity,superhost_rate,log_demand
rome,weekday,Entire home/apt,2754,237.4314075414694,207.60760292708017,122.96219803498944,147.522970097959,350.45472611226705,93.6365286855483,9.528685548293392,3.0851871754900815,0.8980351823784068,3.962236746550472,0.3609295570079884,7.9211727215870145
rome,weekday,Shared room,7,89.94325525782286,80.65835924531831,16.421985689074766,69.20253430902672,115.49341874547027,87.57142857142857,9.142857142857142,2.8720113793743147,0.7423513120298179,4.0,0.14285714285714285,2.0794415416798357
paris,weekend,Entire home/apt,2742,416.2181457523351,339.50041942399105,274.7998935363324,211.57610215304317,695.3117718333489,92.18271334792122,9.231947483588621,2.9324392169816083,0.22741504145091126,3.1331145149525894,0.13822027716994895,7.916807490937603
paris,weekend,Private room,769,296.5235502237959,254.6835679000839,169.57641306384056,152.39071674899805,482.5706030384938,92.25357607282184,9.42262678803641,3.1500026901918923,0.22568570553382242,2.3081924577373214,0.16644993498049415,6.646390514847729
paris,weekend,Shared room,47,164.9139437158785,124.66213067387454,111.00536336215157,107.65215770342064,278.2179140646845,92.42553191489361,9.148936170212766,3.1696069866470826,0.20142242195011995,3.4680851063829787,0.10638297872340426,3.8712010109078907
paris,weekday,Private room,758,301.95330339122347,257.4797278404325,172.46783437487906,152.15770342063567,498.1824960387734,92.36279683377309,9.414248021108179,3.1878789918730717,0.2273143173596932,2.2810026385224274,0.17282321899736147,6.6320017773956295
paris,weekday,Entire home/apt,2325,435.5919089754728,345.3257526330506,442.7060965247034,212.04212880976792,726.3025445055457,91.68559139784946,9.208172043010753,2.9465816608098696,0.2286492366582996,3.1488172043010754,0.12688172043010754,7.75190533307861
paris,weekday,Shared room,47,139.79808155664804,122.09898406188834,63.46011869613293,97.6325845838382,221.3626619442632,91.80851063829788,8.936170212765957,3.3357305779776594,0.20920727356606408,3.723404255319149,0.06382978723404255,3.8712010109078907
lisbon,weekend,Entire home/apt,1950,284.88478375908005,262.6641651031895,100.58740490552533,188.55534709193245,400.32833020637895,91.64769230769231,9.439487179487179,1.784585365071281,0.7758926644313201,3.8194871794871794,0.2317948717948718,7.576097340623111
lisbon,weekend,Private room,917,150.49891460243356,137.66416510318948,57.69897019642517,98.49906191369605,212.94559099437146,90.29770992366412,9.273718647764449,2.356179478741245,0.6167174401146334,2.2050163576881134,0.17884405670665213,6.822197390620491
